Compound ID,Smiles,Smiles_R,Molecular Weight,Exact Mass,XLogP3,Heavy Atom Count,Ring Count,Hydrogen Bond Acceptor Count,Hydrogen Bond Donor Count,Rotatable Bond Count,Topological Polar Surface Area,Molecular Formula,InChI,InChI Key
"1","CCOCCOC","[R1]CCOCCOC[R2]","104.149","104.083729624","0.29","7","0","2","0","4","18.46","C5H12O2","InChI=1S/C5H12O2/c1-3-7-5-4-6-2/h3-5H2,1-2H3",""
"2","CCOCCOCCOCCOC","[R1]CCOCCOCCOCCOC[R2]","192.255","192.13615912","-0.12","13","0","4","0","10","36.92","C9H20O4","InChI=1S/C9H20O4/c1-3-11-6-7-13-9-8-12-5-4-10-2/h3-9H2,1-2H3",""
"3","CCNC(=O)COCCOCC","[R1]CCOCCOCC(=O)NCC[R2]","175.228","175.120843404","0.01","12","0","3","1","7","47.56","C8H17NO3","InChI=1S/C8H17NO3/c1-3-9-8(10)7-12-6-5-11-4-2/h3-7H2,1-2H3,(H,9,10)",""
"4","CCNC(=O)COCCOCCOCCOCC","[R1]CCOCCOCCOCCOCC(=O)NCC[R2]","263.334","263.1732729","-0.29","18","0","5","1","13","66.02","C12H25NO5","InChI=1S/C12H25NO5/c1-3-13-12(14)11-18-10-9-17-8-7-16-6-5-15-4-2/h3-11H2,1-2H3,(H,13,14)",""
"5","CCOCCOCC=O","[R1]CCOCCOCC(=O)[R2]","132.159","132.078644244","-0.17","9","0","3","0","6","35.53","C6H12O3","InChI=1S/C6H12O3/c1-2-8-5-6-9-4-3-7/h3H,2,4-6H2,1H3",""
"6","CCOCCOCCOCCOCC=O","[R1]CCOCCOCCOCCOCC(=O)[R2]","220.265","220.13107374","-0.47","15","0","5","0","12","53.99","C10H20O5","InChI=1S/C10H20O5/c1-2-12-5-6-14-9-10-15-8-7-13-4-3-11/h3H,2,4-10H2,1H3",""
"7","CCOCCOCCOCCOCCOC","[R1]CCOCCOCCOCCOCCOC[R2]","236.308","236.162373868","-0.15","16","0","5","0","13","46.15","C11H24O5","InChI=1S/C11H24O5/c1-3-13-6-7-15-10-11-16-9-8-14-5-4-12-2/h3-11H2,1-2H3",""
"8","CCCCCOCCOC","[R1]CCCCCOCCOC[R2]","146.23","146.130679816","1.72","10","0","2","0","7","18.46","C8H18O2","InChI=1S/C8H18O2/c1-3-4-5-6-10-8-7-9-2/h3-8H2,1-2H3",""
"9","CCOCCOCCOC","[R1]CCOCCOCCOC[R2]","148.202","148.109944372","0.02","10","0","3","0","7","27.69","C7H16O3","InChI=1S/C7H16O3/c1-3-9-6-7-10-5-4-8-2/h3-7H2,1-2H3",""
"10","COCCOCCOCC=O","[R1]C(=O)COCCOCCOC[R2]","162.185","162.089208928","-0.69","11","0","4","0","8","44.76","C7H14O4","InChI=1S/C7H14O4/c1-9-4-5-11-7-6-10-3-2-8/h2H,3-7H2,1H3",""
