"step","Tanimoto_ROCS_sim","Custom_alerts","Linker_Num_Aromatic_Rings","Linker_Effective_Length","ADV","PostDock_Tanimoto_ROCS_sim","raw_Linker_Num_Aromatic_Rings","raw_Linker_Effective_Length","raw_ADV","Valid_SMILES","Number_of_SMILES_found","Average_score","low_upper","Link Length","model"
0,0.2184867262840271,0.6212121248245239,1,0.6060606241226196,0.8035913109779358,0.3210613429546356,0.09090909361839294,10.106060981750488,-9.187681198120117,100,39,0.06780647486448288,"7_15","7~15","Prior-model-1"
1,0.2232758104801178,0.5299999713897705,0.9700000286102295,0.2199999988079071,0.3269745111465454,0.16566608846187592,0.3400000035762787,21.790000915527344,6.666939735412598,100,133,0,"7_15","7~15","Prior-model-1"
2,0.22961774468421936,0.4040403962135315,0.9191918969154358,0.23232322931289673,0.4455404281616211,0.19541366398334503,0.4343434274196625,19.55555534362793,3.220777750015259,98.98989868164062,230,0.03776111826300621,"7_15","7~15","Prior-model-1"
3,0.22965238988399506,0.4099999964237213,0.8500000238418579,0.5699999928474426,0.6459444165229797,0.17674799263477325,1.0299999713897705,12.869999885559082,-1.346690058708191,99,324,0.026978256180882454,"7_15","7~15","Prior-model-1"
4,0.21702921390533447,0.6200000047683716,1,0.5699999928474426,0.6224063634872437,0.16465754806995392,0.23999999463558197,12.59000015258789,-2.7451000213623047,100,414,0.04943069443106651,"7_15","7~15","Prior-model-1"
5,0.23289136588573456,0.8924731016159058,0.9784946441650391,0.6774193644523621,0.8801630735397339,0.24467861652374268,0.3333333432674408,9.107526779174805,-10.259592056274414,100,484,0.12832358479499817,"7_15","7~15","Prior-model-1"
6,0.23429779708385468,0.84375,0.90625,0.6770833134651184,0.8759343028068542,0.20242764055728912,0.59375,8.614583015441895,-11.051823616027832,98.95833587646484,559,0.06111018359661102,"7_15","7~15","Prior-model-1"
7,0.22012892365455627,0.7560975551605225,0.9756097793579102,0.4268292784690857,0.9314006567001343,0.24519778788089752,0.2926829159259796,6.54878044128418,-13.266084671020508,98.78048706054688,602,0.07099670171737671,"7_15","7~15","Prior-model-1"
8,0.2425626814365387,0.8888888955116272,0.9888888597488403,0.6555555462837219,0.8919185400009155,0.2830944359302521,0.4333333373069763,8.322221755981445,-11.254278182983398,100,649,0.07070361822843552,"7_15","7~15","Prior-model-1"
9,0.23785832524299622,0.6702127456665039,0.9680851101875305,0.563829779624939,0.8446552753448486,0.22233442962169647,0.542553186416626,8.180850982666016,-10.882096290588379,100,710,0.02781316265463829,"7_15","7~15","Prior-model-1"
10,0.23511353135108948,0.7346938848495483,0.9591836929321289,0.5918367505073547,0.8495399355888367,0.24462853372097015,0.5102040767669678,7.9285712242126465,-10.980907440185547,100,761,0.030248738825321198,"7_15","7~15","Prior-model-1"
11,0.24787335097789764,0.9354838728904724,0.9462365508079529,0.7634408473968506,0.8354515433311462,0.2434842437505722,0.5268816947937012,9.172042846679688,-9.805731773376465,100,803,0.08527863770723343,"7_15","7~15","Prior-model-1"
12,0.238209068775177,0.9255319237709045,0.936170220375061,0.8723404407501221,0.8310026526451111,0.2839758098125458,0.978723406791687,9.702127456665039,-8.139148712158203,98.93617248535156,856,0.16628919541835785,"7_15","7~15","Prior-model-1"
13,0.23255757987499237,0.9200000166893005,0.8799999952316284,0.8600000143051147,0.8343359231948853,0.23634418845176697,1.0700000524520874,9.199999809265137,-9.087260246276855,100,921,0.10792998969554901,"7_15","7~15","Prior-model-1"
14,0.23828037083148956,0.8131868243217468,0.9560439586639404,0.8131868243217468,0.8996625542640686,0.2537987530231476,0.9340659379959106,8.780220031738281,-10.86629581451416,98.9011001586914,970,0.043594859540462494,"7_15","7~15","Prior-model-1"
15,0.23490096628665924,0.8999999761581421,0.9111111164093018,0.8333333134651184,0.8611197471618652,0.25572291016578674,0.9666666388511658,8.366666793823242,-10.827401161193848,96.66666412353516,1017,0.05003492534160614,"7_15","7~15","Prior-model-1"
16,0.23532237112522125,0.8804348111152649,0.8695651888847351,0.717391312122345,0.8347301483154297,0.22193554043769836,0.97826087474823,8.065217018127441,-9.754033088684082,98.91304016113281,1068,0.055320486426353455,"7_15","7~15","Prior-model-1"
17,0.23789100348949432,0.918367326259613,0.8571428656578064,0.7857142686843872,0.8539896607398987,0.1779574304819107,1.0306122303009033,8.326530456542969,-10.438060760498047,96.93877410888672,1113,0.0542161725461483,"7_15","7~15","Prior-model-1"
18,0.23838289082050323,0.9120879173278809,0.901098906993866,0.5274725556373596,0.9387159943580627,0.23644374310970306,1.0329670906066895,6.791208744049072,-12.760339736938477,100,1156,0.04351753741502762,"7_15","7~15","Prior-model-1"
19,0.24041828513145447,0.914893627166748,0.9468085169792175,0.5531914830207825,0.9361089468002319,0.25529634952545166,0.978723406791687,7.202127456665039,-12.669764518737793,98.93617248535156,1206,0.08596594631671906,"7_15","7~15","Prior-model-1"
20,0.22973239421844482,0.9263157844543457,0.9263157844543457,0.6000000238418579,0.889950692653656,0.24013055860996246,0.9473684430122375,7.010526180267334,-12.20468521118164,97.89473724365234,1251,0.06226123496890068,"7_15","7~15","Prior-model-1"
21,0.23813457787036896,0.9222221970558167,0.9333333373069763,0.6777777671813965,0.8910257816314697,0.2654702067375183,0.9333333373069763,7.699999809265137,-11.275388717651367,97.77777862548828,1297,0.08698128908872604,"7_15","7~15","Prior-model-1"
22,0.2417547106742859,0.9569892287254333,0.9569892287254333,0.7419354915618896,0.9379377365112305,0.23606298863887787,0.9677419066429138,7.634408473968506,-11.917162895202637,98.92472839355469,1355,0.08520060777664185,"7_15","7~15","Prior-model-1"
23,0.23180483281612396,0.9494949579238892,0.9696969985961914,0.7171717286109924,0.9199671149253845,0.23301635682582855,0.9595959782600403,7.878787994384766,-11.775142669677734,100,1417,0.09996992349624634,"7_15","7~15","Prior-model-1"
24,0.23379221558570862,0.9896907210350037,0.9587628841400146,0.6804123520851135,0.9223073720932007,0.271103173494339,0.9175257682800293,8.06185531616211,-12.387380599975586,100,1477,0.1500740945339203,"7_15","7~15","Prior-model-1"
25,0.23204883933067322,0.9599999785423279,0.949999988079071,0.8100000023841858,0.857657790184021,0.2230871170759201,0.949999988079071,9.069999694824219,-9.930309295654297,98,1549,0.15857096016407013,"7_15","7~15","Prior-model-1"
26,0.24132995307445526,0.9900000095367432,0.9200000166893005,0.8100000023841858,0.901831865310669,0.24225173890590668,1.0399999618530273,8.640000343322754,-11.645748138427734,100,1632,0.11538384109735489,"7_15","7~15","Prior-model-1"
27,0.23362420499324799,0.949999988079071,0.9200000166893005,0.7799999713897705,0.8862435221672058,0.2317512184381485,0.9800000190734863,8.869999885559082,-10.68259048461914,98,1714,0.13593080639839172,"7_15","7~15","Prior-model-1"
28,0.23562708497047424,0.9292929172515869,0.8383838534355164,0.8484848737716675,0.7080675959587097,0.1990981101989746,0.9696969985961914,10.08080768585205,-6.015110969543457,94.94949340820312,1800,0.11607538163661957,"7_15","7~15","Prior-model-1"
29,0.21417759358882904,0.9100000262260437,0.8799999952316284,0.8500000238418579,0.6807428002357483,0.17021304368972778,0.9399999976158142,9.640000343322754,-6.007159233093262,94,1887,0.12916560471057892,"7_15","7~15","Prior-model-1"
30,0.22483621537685394,0.9200000166893005,0.8799999952316284,0.8799999952316284,0.741441547870636,0.24789249897003174,0.9900000095367432,9.069999694824219,-8.03207015991211,94,1968,0.1760491132736206,"7_15","7~15","Prior-model-1"
31,0.21351736783981323,0.8282828330993652,0.8282828330993652,0.8181818127632141,0.7065298557281494,0.23781292140483856,0.8787878751754761,9.121212005615234,-7.273090839385986,88.88888549804688,2040,0.16137459874153137,"7_15","7~15","Prior-model-1"
32,0.22793999314308167,0.8877550959587097,0.9285714030265808,0.8469387888908386,0.8312742114067078,0.2854178845882416,0.8775510191917419,8.653060913085938,-10.03357219696045,94.89795684814453,2121,0.21047253906726837,"7_15","7~15","Prior-model-1"
33,0.2038845270872116,0.795918345451355,0.8265306353569031,0.7755101919174194,0.6596685647964478,0.22291922569274902,0.8367347121238708,8.683673858642578,-5.8423566818237305,84.69387817382812,2193,0.1770467609167099,"7_15","7~15","Prior-model-1"
34,0.2127496600151062,0.8199999928474426,0.8500000238418579,0.800000011920929,0.7515567541122437,0.2473926544189453,0.8700000047683716,8.369999885559082,-8.110469818115234,88,2272,0.18896928429603577,"7_15","7~15","Prior-model-1"
35,0.22799110412597656,0.9368420839309692,0.8631578683853149,0.8736842274665833,0.8308650851249695,0.27380114793777466,1,8.757894515991211,-10.187000274658203,93.68421173095703,2346,0.2036750763654709,"7_15","7~15","Prior-model-1"
36,0.21983319520950317,0.9175257682800293,0.9484536051750183,0.8659793734550476,0.8457965850830078,0.2465152144432068,0.969072163105011,8.670103073120117,-9.994752883911133,96.90721893310547,2423,0.15050095319747925,"7_15","7~15","Prior-model-1"
