"ratio","bond_distance","model"
0.1645976752059587,"No Constraint","Prior-model-1"
0.08296593186372746,"7~8","Prior-model-1"
0.1127414455207199,"7~9","Prior-model-1"
0.15210919507948098,"7~10","Prior-model-1"
0.15502605233885605,"7~11","Prior-model-1"
0.15115447154471545,"7~12","Prior-model-1"
0.15509076558800317,"7~13","Prior-model-1"
0.16104442801069457,"7~14","Prior-model-1"
0.16758483913618333,"7~15","Prior-model-1"
0.08686587908269632,"No Constraint","Prior-model-2"
0.08297872340425531,"7~8","Prior-model-2"
0.06326034063260341,"7~9","Prior-model-2"
0.022364217252396165,"7~10","Prior-model-2"
0.03319502074688797,"7~11","Prior-model-2"
0.06666666666666667,"7~12","Prior-model-2"
0.22131147540983606,"7~13","Prior-model-2"
0.11899482631189948,"7~14","Prior-model-2"
0.11428571428571428,"7~15","Prior-model-2"
0.28888888888888886,"No Constraint","Prior-model-3"
0.02210144927536232,"7~8","Prior-model-3"
0.11638733705772812,"7~9","Prior-model-3"
0.08714083843617522,"7~10","Prior-model-3"
0.15759475634083783,"7~11","Prior-model-3"
0.15795015795015796,"7~12","Prior-model-3"
0.1683381088825215,"7~13","Prior-model-3"
0.15501724282950627,"7~14","Prior-model-3"
0.15793151642208245,"7~15","Prior-model-3"
0.10841932107073426,"No Constraint","Prior-model-4"
0.017042330951072018,"7~8","Prior-model-4"
0.04499540863177227,"7~9","Prior-model-4"
0.014563106796116505,"7~10","Prior-model-4"
0.023700305810397553,"7~11","Prior-model-4"
0.19464825205006475,"7~12","Prior-model-4"
0.18074383037886688,"7~13","Prior-model-4"
0.12669683257918551,"7~14","Prior-model-4"
0.14713216957605985,"7~15","Prior-model-4"
