"step","raw_Linker_Effective_Length","Link Length"
0,12.05434799194336,"No constraint"
1,9.712499618530273,"No constraint"
2,15.680000305175781,"No constraint"
3,18.050504684448242,"No constraint"
4,19.59000015258789,"No constraint"
5,28.36458396911621,"No constraint"
6,27.894737243652344,"No constraint"
7,23.42708396911621,"No constraint"
8,24.55208396911621,"No constraint"
9,23.34000015258789,"No constraint"
10,25.739999771118164,"No constraint"
11,31.050504684448242,"No constraint"
12,18.474746704101562,"No constraint"
13,17.780000686645508,"No constraint"
14,21.549999237060547,"No constraint"
15,19.209999084472656,"No constraint"
16,17.31999969482422,"No constraint"
17,15.920000076293945,"No constraint"
18,18.010000228881836,"No constraint"
19,17.790000915527344,"No constraint"
20,15.1899995803833,"No constraint"
21,13.818181991577148,"No constraint"
22,13.329896926879883,"No constraint"
23,10.681818008422852,"No constraint"
24,12.82608699798584,"No constraint"
25,14.051546096801758,"No constraint"
26,13.181818008422852,"No constraint"
27,14.546391487121582,"No constraint"
28,15.757575988769531,"No constraint"
29,17.252525329589844,"No constraint"
30,15.170000076293945,"No constraint"
31,17.110000610351562,"No constraint"
32,13.510000228881836,"No constraint"
33,17.8700008392334,"No constraint"
34,15.989999771118164,"No constraint"
35,15.260000228881836,"No constraint"
36,19.780000686645508,"No constraint"
37,21.040000915527344,"No constraint"
38,16.8799991607666,"No constraint"
39,16.09000015258789,"No constraint"
40,12.13131332397461,"No constraint"
41,13.051546096801758,"No constraint"
42,11.08080768585205,"No constraint"
43,11.640000343322754,"No constraint"
44,11.010416984558105,"No constraint"
45,12.510638236999512,"No constraint"
46,7.550000190734863,"No constraint"
47,8.779999732971191,"No constraint"
48,8.737373352050781,"No constraint"
49,6.329999923706055,"No constraint"
50,8.880000114440918,"No constraint"
51,8.357142448425293,"No constraint"
52,7.5050506591796875,"No constraint"
53,7.610000133514404,"No constraint"
54,6.690000057220459,"No constraint"
55,7.3125,"No constraint"
56,5.979381561279297,"No constraint"
57,5.44444465637207,"No constraint"
58,5.303370952606201,"No constraint"
59,5.625,"No constraint"
60,7.161616325378418,"No constraint"
61,6.28000020980835,"No constraint"
62,7.070000171661377,"No constraint"
63,6.289999961853027,"No constraint"
64,7.579999923706055,"No constraint"
65,7.139999866485596,"No constraint"
66,7.5757575035095215,"No constraint"
67,5.550000190734863,"No constraint"
68,6.257731914520264,"No constraint"
69,5.556701183319092,"No constraint"
70,7.247422695159912,"No constraint"
71,5.980000019073486,"No constraint"
72,6.7272725105285645,"No constraint"
73,7.360000133514404,"No constraint"
74,7.829999923706055,"No constraint"
75,7.760000228881836,"No constraint"
76,7.099999904632568,"No constraint"
77,7.838383674621582,"No constraint"
78,7.050000190734863,"No constraint"
79,7.690000057220459,"No constraint"
80,7.4141411781311035,"No constraint"
81,8,"No constraint"
82,6.630000114440918,"No constraint"
83,7.639999866485596,"No constraint"
84,5.7272725105285645,"No constraint"
85,6.880000114440918,"No constraint"
86,6.519999980926514,"No constraint"
87,6.860000133514404,"No constraint"
88,5.868686676025391,"No constraint"
89,6.373737335205078,"No constraint"
90,7.44444465637207,"No constraint"
91,7.519999980926514,"No constraint"
92,7.161616325378418,"No constraint"
93,6.303030490875244,"No constraint"
94,6.959596157073975,"No constraint"
95,8.15999984741211,"No constraint"
96,7.170000076293945,"No constraint"
97,7.75,"No constraint"
98,9.619999885559082,"No constraint"
99,8.683673858642578,"No constraint"
100,10.779999732971191,"No constraint"
101,10.959595680236816,"No constraint"
102,11.399999618530273,"No constraint"
103,10.819999694824219,"No constraint"
104,11.229999542236328,"No constraint"
105,10.859999656677246,"No constraint"
106,9.369999885559082,"No constraint"
107,9.9399995803833,"No constraint"
108,9.229999542236328,"No constraint"
109,8.930000305175781,"No constraint"
110,7.869999885559082,"No constraint"
111,7.019999980926514,"No constraint"
112,6.940000057220459,"No constraint"
113,6.151515007019043,"No constraint"
114,5.717171669006348,"No constraint"
115,5.818181991577148,"No constraint"
116,6.142857074737549,"No constraint"
117,5.659999847412109,"No constraint"
118,5.960000038146973,"No constraint"
119,5.460000038146973,"No constraint"
120,6.039999961853027,"No constraint"
121,5.909090995788574,"No constraint"
122,5.71999979019165,"No constraint"
123,6.340000152587891,"No constraint"
124,6.5,"No constraint"
125,6.636363506317139,"No constraint"
126,6.539999961853027,"No constraint"
127,6.360000133514404,"No constraint"
128,6.880000114440918,"No constraint"
129,6.570000171661377,"No constraint"
130,6.760000228881836,"No constraint"
131,7.141414165496826,"No constraint"
132,6.666666507720947,"No constraint"
133,6.809999942779541,"No constraint"
134,6.980000019073486,"No constraint"
135,7.389999866485596,"No constraint"
136,7.170000076293945,"No constraint"
137,7.151515007019043,"No constraint"
138,7.4949493408203125,"No constraint"
139,7.224489688873291,"No constraint"
140,6.777777671813965,"No constraint"
141,7.599999904632568,"No constraint"
142,6.422680377960205,"No constraint"
143,6.163265228271484,"No constraint"
