"step","Tanimoto_ROCS_sim","Custom_alerts","Linker_Num_Aromatic_Rings","Linker_Effective_Length","ADV","PostDock_Tanimoto_ROCS_sim","raw_Linker_Num_Aromatic_Rings","raw_Linker_Effective_Length","raw_ADV","Valid_SMILES","Number_of_SMILES_found","Average_score","low_upper","Link Length"
0,0.21901002526283264,0.75,0.9868420958518982,0.22368420660495758,0.8434691429138184,0.291043221950531,0.28947368264198303,9,-10.755131721496582,100,54,0.052186425775289536,"7_8","7~8"
1,0.23002181947231293,0.5822784900665283,0.9873417615890503,0.17721518874168396,0.9603745937347412,0.24135251343250275,0.3291139304637909,6.9113922119140625,-13.218999862670898,100,105,0.011953647248446941,"7_8","7~8"
2,0.24092666804790497,0.9230769276618958,1,0.28205129504203796,0.926655113697052,0.31692686676979065,0.6153846383094788,6.525640964508057,-12.624025344848633,100,139,0.012583394534885883,"7_8","7~8"
3,0.23465818166732788,0.859375,0.96875,0.21875,0.9783306121826172,0.33300942182540894,0.515625,5.578125,-14.459390640258789,100,165,0.062113724648952484,"7_8","7~8"
4,0.23451463878154755,0.9740259647369385,0.9350649118423462,0.33766233921051025,0.9085380434989929,0.3112444579601288,0.6883116960525513,7.818181991577148,-12.145584106445312,100,205,0.03872615471482277,"7_8","7~8"
5,0.251985102891922,0.9830508232116699,0.9491525292396545,0.35593220591545105,0.9722281098365784,0.4199410080909729,0.8644067645072937,6.593220233917236,-13.733356475830078,98.30508422851562,222,0.05054424703121185,"7_8","7~8"
6,0.2439117729663849,0.9452054500579834,0.9041095972061157,0.36986300349235535,0.9379453063011169,0.34548380970954895,0.9863013625144958,8.6575345993042,-12.40686321258545,100,258,0.02705703116953373,"7_8","7~8"
7,0.25199174880981445,0.9466666579246521,0.9866666793823242,0.36000001430511475,0.984195351600647,0.32376956939697266,0.8799999952316284,7.7866668701171875,-13.821853637695312,100,292,0.03958573192358017,"7_8","7~8"
8,0.23861631751060486,0.949999988079071,0.925000011920929,0.4625000059604645,0.9456993341445923,0.3028446137905121,0.987500011920929,7.675000190734863,-12.994799613952637,98.75,326,0.03707447275519371,"7_8","7~8"
9,0.24976268410682678,0.9672130942344666,0.9672130942344666,0.5081967115402222,0.9726019501686096,0.43606579303741455,1.0163934230804443,8.459016799926758,-13.299555778503418,100,351,0.06512001901865005,"7_8","7~8"
10,0.23540730774402618,0.929411768913269,0.929411768913269,0.5411764979362488,0.9443941712379456,0.32886001467704773,1.0235294103622437,7.082353115081787,-12.734448432922363,97.64705657958984,389,0.04627026617527008,"7_8","7~8"
