"Column0","step","Tanimoto_ROCS_sim","Custom_alerts","Linker_Num_Aromatic_Rings","Linker_Effective_Length","ADV","PostDock_Tanimoto_ROCS_sim","raw_Linker_Num_Aromatic_Rings","raw_Linker_Effective_Length","raw_ADV","Valid_SMILES","Number_of_SMILES_found","Average_score","Link Length","low_upper"
0,0,0.21919819712638855,0.5595238208770752,1,1,0.7896484136581421,0.23310920596122742,0.261904776096344,11.345237731933594,-9.444535255432129,100,59,0.26462092995643616,"No constraint","No constraint"
1,1,0.22946064174175262,0.8500000238418579,0.7699999809265137,0.9900000095367432,0.6523361802101135,0.16021907329559326,1.190000057220459,13.920000076293945,-3.477949619293213,99,150,0.5054629445075989,"No constraint","No constraint"
2,2,0.23292900621891022,0.9700000286102295,0.6100000143051147,1,0.6038215160369873,0.14313971996307373,1.4500000476837158,14.3100004196167,0.40193983912467957,100,248,0.5541772246360779,"No constraint","No constraint"
3,3,0.22746428847312927,0.8484848737716675,0.7272727489471436,0.9797979593276978,0.7175633311271667,0.11835219711065292,1.2323232889175415,11.565656661987305,-3.5583434104919434,97.97979736328125,335,0.47337549924850464,"No constraint","No constraint"
4,4,0.24603481590747833,0.96875,0.9270833134651184,1,0.7832673192024231,0.1718771606683731,1.03125,9.614583015441895,-8.743823051452637,100,410,0.5263832807540894,"No constraint","No constraint"
5,5,0.2616267502307892,0.9890109896659851,0.9780219793319702,1,0.9128451347351074,0.1959007978439331,0.8901098966598511,8.681318283081055,-10.529363632202148,100,479,0.5706099271774292,"No constraint","No constraint"
6,6,0.24813026189804077,0.9696969985961914,0.9696969985961914,0.9898989796638489,0.8541859984397888,0.23879536986351013,0.868686854839325,8.737373352050781,-8.047897338867188,98.98989868164062,560,0.6160520911216736,"No constraint","No constraint"
7,7,0.24600765109062195,0.9800000190734863,0.9300000071525574,0.9900000095367432,0.8596022129058838,0.1706230789422989,0.8299999833106995,7.929999828338623,-10.703180313110352,99,649,0.6487969160079956,"No constraint","No constraint"
8,8,0.2578856945037842,0.9479166865348816,0.9895833134651184,0.9895833134651184,0.9212889671325684,0.23473447561264038,0.8020833134651184,6.552083492279053,-12.959759712219238,98.95833587646484,732,0.6540380120277405,"No constraint","No constraint"
9,9,0.2463008314371109,0.8999999761581421,0.9700000286102295,0.9900000095367432,0.9015054106712341,0.19956566393375397,0.8100000023841858,7.789999961853027,-11.430231094360352,99,824,0.6396445631980896,"No constraint","No constraint"
10,10,0.23763518035411835,0.868686854839325,0.9292929172515869,0.9696969985961914,0.8307269811630249,0.20016589760780334,0.5555555820465088,8.454545021057129,-9.2719087600708,96.96969604492188,914,0.6045920848846436,"No constraint","No constraint"
