"step","Tanimoto_ROCS_sim","Custom_alerts","Linker_Num_Aromatic_Rings","Linker_Effective_Length","ADV","PostDock_Tanimoto_ROCS_sim","raw_Linker_Num_Aromatic_Rings","raw_Linker_Effective_Length","raw_ADV","Valid_SMILES","Number_of_SMILES_found","Average_score","docking_weight"
0,0.2223075032234192,0.8289473652839661,0.9605262875556946,0.5394737124443054,0.7954232692718506,0.3025137484073639,0.31578946113586426,10.105262756347656,-7.954448699951172,100,56,0.35227835178375244,"1"
1,0.2129131704568863,0.8399999737739563,0.7799999713897705,0.3499999940395355,0.5352687239646912,0.1557205319404602,1.0800000429153442,16.530000686645508,-2.407320022583008,99,147,0.3537660837173462,"1"
2,0.22071419656276703,0.8383838534355164,0.9898989796638489,0.6161616444587708,0.6878569722175598,0.20937860012054443,0.8787878751754761,13.141413688659668,-6.643322944641113,100,231,0.4336179196834564,"1"
3,0.2376125603914261,0.967391312122345,0.97826087474823,0.70652174949646,0.9347140192985535,0.1891937255859375,0.95652174949646,7.76086950302124,-11.714075088500977,100,287,0.42649558186531067,"1"
4,0.23801511526107788,0.945652186870575,0.95652174949646,0.554347813129425,0.9419917464256287,0.20005632936954498,0.95652174949646,6.782608509063721,-13.141619682312012,100,343,0.3695846498012543,"1"
5,0.23329463601112366,0.868686854839325,0.8989899158477783,0.8989899158477783,0.8565539717674255,0.13219837844371796,1.0606060028076172,9.373737335205078,-10.052433967590332,98.98989868164062,428,0.5233292579650879,"1"
6,0.23030878603458405,0.9399999976158142,0.9200000166893005,0.8999999761581421,0.8005378842353821,0.10115265846252441,0.9900000095367432,9.380000114440918,-8.472029685974121,97,517,0.6022120118141174,"1"
7,0.23863910138607025,0.9200000166893005,0.8899999856948853,0.8899999856948853,0.7664526104927063,0.1793883889913559,0.9900000095367432,9.869999885559082,-7.167600154876709,98,612,0.6166190505027771,"1"
8,0.23049022257328033,0.9300000071525574,0.8799999952316284,0.7900000214576721,0.8173263072967529,0.19464904069900513,0.9800000190734863,8.890000343322754,-9.7531099319458,98,701,0.5737311244010925,"1"
9,0.2485533356666565,0.9900000095367432,0.9300000071525574,0.8799999952316284,0.876085102558136,0.21063262224197388,0.9800000190734863,9,-9.538639068603516,99,795,0.6868489980697632,"1"
10,0.24354520440101624,0.8999999761581421,0.9200000166893005,0.8899999856948853,0.6911985278129578,0.17631065845489502,0.8500000238418579,9.739999771118164,-4.86046028137207,96,890,0.6269374489784241,"1"
11,0.22681543231010437,0.9292929172515869,0.9090909361839294,0.8787878751754761,0.7255149483680725,0.1902918964624405,0.9191918969154358,9.494949340820312,-6.689757823944092,96.96969604492188,983,0.6277693510055542,"1"
12,0.23300808668136597,0.9191918969154358,0.9090909361839294,0.9292929172515869,0.8365918397903442,0.21759942173957825,0.9292929172515869,9.202020645141602,-9.2017183303833,97.97979736328125,1074,0.6362936496734619,"1"
13,0.2248227894306183,0.8787878751754761,0.939393937587738,0.8383838534355164,0.7835665345191956,0.18767035007476807,0.8383838534355164,8.707070350646973,-8.109110832214355,96.96969604492188,1168,0.6233664155006409,"1"
14,0.22386014461517334,0.8799999952316284,0.9100000262260437,0.8700000047683716,0.7001469135284424,0.18894602358341217,0.7599999904632568,9.279999732971191,-6.320199966430664,95,1259,0.6000406742095947,"1"
15,0.24152633547782898,0.9800000190734863,0.9800000190734863,0.8700000047683716,0.8364161849021912,0.1592395156621933,0.8600000143051147,9.449999809265137,-9.89404010772705,100,1349,0.5859999656677246,"1"
16,0.21293838322162628,0.8989899158477783,0.9595959782600403,0.8484848737716675,0.7865588068962097,0.2022799849510193,0.7676767706871033,8.91919231414795,-9.496232032775879,95.9595947265625,1431,0.5254243612289429,"1"
17,0.2199387103319168,0.9100000262260437,0.9700000286102295,0.8500000238418579,0.7823366522789001,0.2090182900428772,0.5199999809265137,9.319999694824219,-7.5477705001831055,97,1518,0.5487247705459595,"1"
18,0.24112321436405182,0.9700000286102295,0.9800000190734863,0.9100000262260437,0.7519711256027222,0.1947803497314453,0.7900000214576721,10.75,-6.404670238494873,99,1612,0.6329907774925232,"1"
19,0.22912468016147614,0.8999999761581421,0.9399999976158142,0.8399999737739563,0.6712907552719116,0.16794979572296143,0.6100000143051147,10.65999984741211,-5.496960639953613,95,1704,0.5992066264152527,"1"
20,0.23633703589439392,0.8673469424247742,0.9591836929321289,0.8469387888908386,0.7266143560409546,0.18724191188812256,0.6632652878761292,10.255102157592773,-4.318816184997559,96.93877410888672,1794,0.5586477518081665,"1"
21,0.22185033559799194,0.8999999761581421,0.9399999976158142,0.75,0.6438513398170471,0.1237928494811058,0.5,11.84000015258789,-4.6817498207092285,95,1888,0.5776340961456299,"1"
22,0.21620135009288788,0.8600000143051147,0.9300000071525574,0.8399999737739563,0.6367418169975281,0.16399146616458893,0.6200000047683716,10.789999961853027,-4.9980902671813965,94,1976,0.5490893721580505,"1"
23,0.23442398011684418,0.9696969985961914,0.9696969985961914,0.8383838534355164,0.7790552973747253,0.12876830995082855,0.5252525210380554,10.1010103225708,-6.923322677612305,98.98989868164062,2066,0.6075774431228638,"1"
24,0.23612670600414276,0.9599999785423279,0.9599999785423279,0.8700000047683716,0.6912239789962769,0.1575118750333786,0.5400000214576721,10.8100004196167,-5.812750339508057,98,2152,0.5742944478988647,"1"
25,0.24635599553585052,0.9599999785423279,0.9900000095367432,0.8600000143051147,0.8388480544090271,0.23741580545902252,0.6399999856948853,8.9399995803833,-9.449270248413086,99,2231,0.546328067779541,"1"
26,0.23425264656543732,0.9399999976158142,0.9900000095367432,0.8899999856948853,0.8576286435127258,0.2079465538263321,0.6800000071525574,9.420000076293945,-9.893730163574219,99,2313,0.5430492162704468,"1"
27,0.23632213473320007,0.8999999761581421,0.9800000190734863,0.9100000262260437,0.8222383856773376,0.1627402901649475,0.5699999928474426,9.5600004196167,-8.143659591674805,98,2397,0.5400190949440002,"1"
28,0.23992234468460083,0.9797979593276978,0.9797979593276978,0.9292929172515869,0.797392725944519,0.19166997075080872,0.6666666865348816,10.404040336608887,-8.144373893737793,97.97979736328125,2482,0.6159040927886963,"1"
29,0.2465178221464157,0.9489796161651611,0.9897959232330322,0.9387755393981934,0.8575483560562134,0.204976886510849,0.6734693646430969,9.857142448425293,-8.474071502685547,100,2565,0.5811775922775269,"1"
30,0.24165673553943634,0.9599999785423279,0.9700000286102295,0.9399999976158142,0.8506839871406555,0.2180650383234024,0.7900000214576721,9.430000305175781,-10.651261329650879,98,2650,0.60846346616745,"1"
31,0.22717933356761932,0.9599999785423279,0.9900000095367432,0.9300000071525574,0.8285118937492371,0.23688270151615143,0.7799999713897705,9.460000038146973,-9.291500091552734,99,2734,0.6073520183563232,"1"
32,0.23361970484256744,0.9795918464660645,0.9591836929321289,0.9285714030265808,0.793237030506134,0.21988187730312347,0.9693877696990967,10.295918464660645,-8.97923469543457,98.9795913696289,2818,0.6186960935592651,"1"
33,0.2346147745847702,0.9800000190734863,1,0.9100000262260437,0.8682768940925598,0.19737915694713593,0.8500000238418579,10.09000015258789,-9.707160949707031,100,2898,0.581858217716217,"1"
34,0.2283610850572586,0.9800000190734863,0.9800000190734863,0.9300000071525574,0.6823440790176392,0.2018001526594162,0.8999999761581421,11.720000267028809,-4.113850116729736,99,2988,0.6179707050323486,"1"
35,0.23941896855831146,0.9900000095367432,0.9800000190734863,0.9100000262260437,0.6560428738594055,0.13779611885547638,0.8500000238418579,12.180000305175781,-4.591710090637207,100,3082,0.6276757121086121,"1"
36,0.24486283957958221,0.949999988079071,0.9900000095367432,0.9399999976158142,0.7194973230361938,0.1629771590232849,0.8700000047683716,11.550000190734863,-4.095919609069824,100,3166,0.5430476665496826,"1"
37,0.24484461545944214,0.9599999785423279,0.9800000190734863,0.949999988079071,0.7392652630805969,0.19734829664230347,0.8999999761581421,11.489999771118164,-6.282469272613525,100,3253,0.599561333656311,"1"
38,0.23670899868011475,0.9900000095367432,0.9700000286102295,0.9300000071525574,0.6331120133399963,0.17857155203819275,0.9800000190734863,12.029999732971191,-3.001499891281128,99,3347,0.6494696140289307,"1"
39,0.23970788717269897,0.9800000190734863,0.9700000286102295,0.8500000238418579,0.6440953016281128,0.15632806718349457,0.9200000166893005,12.449999809265137,-3.9684505462646484,99,3442,0.6201443672180176,"1"
40,0.23651012778282166,0.9700000286102295,0.9800000190734863,0.8999999761581421,0.630558431148529,0.14657607674598694,0.9900000095367432,12.069999694824219,-4.257450103759766,99,3531,0.5689172744750977,"1"
41,0.2424919158220291,0.9599999785423279,0.949999988079071,0.9399999976158142,0.7046208381652832,0.16170330345630646,0.9800000190734863,11.140000343322754,-5.667449951171875,99,3621,0.5982462167739868,"1"
42,0.2350964993238449,1,1,0.9599999785423279,0.7237992286682129,0.2124599814414978,0.8999999761581421,10.8100004196167,-6.28994083404541,100,3707,0.6190452575683594,"1"
43,0.24381154775619507,0.9900000095367432,0.9599999785423279,0.9599999785423279,0.8298091888427734,0.20635682344436646,0.9300000071525574,10.199999809265137,-8.436360359191895,100,3786,0.5659058690071106,"1"
44,0.23263727128505707,0.939393937587738,0.9696969985961914,0.8888888955116272,0.7811535000801086,0.22771447896957397,0.808080792427063,9.606060981750488,-8.628636360168457,96.96969604492188,3869,0.6005954742431641,"1"
45,0.23487134277820587,0.9399999976158142,0.949999988079071,0.9399999976158142,0.8099261522293091,0.2173999845981598,0.8500000238418579,9.569999694824219,-9.6091890335083,98,3951,0.5634478330612183,"1"
46,0.2333512157201767,0.9700000286102295,0.9800000190734863,0.8600000143051147,0.8290637731552124,0.19866304099559784,0.7799999713897705,9.220000267028809,-9.751350402832031,98,4032,0.569649338722229,"1"
47,0.24570967257022858,0.9700000286102295,0.9700000286102295,0.9900000095367432,0.7629448771476746,0.1856584995985031,0.8399999737739563,10.069999694824219,-8.705430030822754,100,4123,0.6304354071617126,"1"
48,0.23154136538505554,0.9800000190734863,0.9700000286102295,0.9300000071525574,0.8258035182952881,0.23119346797466278,0.7799999713897705,9.430000305175781,-9.228619575500488,98,4210,0.6238122582435608,"1"
49,0.2349698692560196,0.949999988079071,0.9599999785423279,0.9200000166893005,0.7846584916114807,0.1942051500082016,0.7599999904632568,9.449999809265137,-8.141610145568848,97,4297,0.5720052123069763,"1"
50,0.23592139780521393,0.949999988079071,0.949999988079071,0.9399999976158142,0.7806620001792908,0.21118465065956116,0.75,10.220000267028809,-8.01826000213623,98,4388,0.6031624674797058,"1"
51,0.22701577842235565,0.9900000095367432,0.9800000190734863,0.8600000143051147,0.8319746255874634,0.19957992434501648,0.5099999904632568,9.140000343322754,-9.434200286865234,100,4480,0.6165863871574402,"1"
52,0.22661274671554565,0.9599999785423279,0.9800000190734863,0.9399999976158142,0.8377605676651001,0.19777034223079681,0.4300000071525574,9.630000114440918,-9.792889595031738,98,4569,0.6005343198776245,"1"
53,0.22159673273563385,0.9399999976158142,0.9399999976158142,0.9300000071525574,0.5836501121520996,0.1562948375940323,0.3700000047683716,11.010000228881836,-1.657010555267334,95,4661,0.6037222146987915,"1"
54,0.21909216046333313,0.9399999976158142,0.9599999785423279,0.9100000262260437,0.7224719524383545,0.2175254076719284,0.38999998569488525,10.039999961853027,-6.507740020751953,96,4754,0.6247109174728394,"1"
55,0.22145333886146545,0.8999999761581421,0.9399999976158142,0.9100000262260437,0.7136191725730896,0.15474650263786316,0.33000001311302185,9.390000343322754,-6.049789905548096,94,4844,0.6248034834861755,"1"
56,0.2194865345954895,0.949999988079071,0.949999988079071,0.9200000166893005,0.665190577507019,0.21586106717586517,0.2199999988079071,10.739999771118164,-5.692899703979492,95,4936,0.6671739220619202,"1"
57,0.2194376438856125,0.9599999785423279,0.9800000190734863,0.9200000166893005,0.7786638736724854,0.17336203157901764,0.15000000596046448,10.789999961853027,-7.794060230255127,98,5028,0.652570903301239,"1"
58,0.22301849722862244,0.9800000190734863,0.9900000095367432,0.8799999952316284,0.6190479397773743,0.14854446053504944,0.14000000059604645,12.039999961853027,-2.98760986328125,99,5125,0.6398069858551025,"1"
59,0.21869486570358276,0.9700000286102295,0.9800000190734863,0.9700000286102295,0.7530006170272827,0.1546230912208557,0.15000000596046448,10.539999961853027,-6.878280162811279,98,5219,0.6774408221244812,"1"
60,0.2252439260482788,0.9800000190734863,1,0.949999988079071,0.8270039558410645,0.22889062762260437,0.20999999344348907,9.569999694824219,-9.359950065612793,100,5312,0.679185152053833,"1"
61,0.2266838401556015,0.9898989796638489,0.9797979593276978,0.9494949579238892,0.823662519454956,0.23391593992710114,0.10101009905338287,10.13131332397461,-8.47856616973877,98.98989868164062,5402,0.685060977935791,"1"
62,0.22112226486206055,1,0.9900000095367432,0.9200000166893005,0.7926754951477051,0.23527221381664276,0.20999999344348907,9.460000038146973,-8.7489595413208,100,5496,0.6813091039657593,"1"
63,0.21424968540668488,1,1,0.949999988079071,0.8699731230735779,0.23538972437381744,0.09000000357627869,9.34000015258789,-10.450350761413574,100,5586,0.6811335682868958,"1"
64,0.22348074615001678,0.9200000166893005,0.9700000286102295,0.9200000166893005,0.7843331694602966,0.2198547124862671,0.10000000149011612,10.220000267028809,-7.209420204162598,97,5679,0.6566036343574524,"1"
65,0.2158498764038086,0.9599999785423279,0.9900000095367432,0.9300000071525574,0.8608441352844238,0.2325780838727951,0.05000000074505806,9.149999618530273,-10.016490936279297,99,5772,0.6825021505355835,"1"
66,0.22432474792003632,1,1,0.7395833134651184,0.8978753089904785,0.27363479137420654,0.0625,8.072916984558105,-10.949146270751953,100,5862,0.6656693816184998,"1"
67,0.2370217889547348,0.939393937587738,0.9898989796638489,0.9090909361839294,0.8906363248825073,0.20689734816551208,0.16161616146564484,8.858586311340332,-10.64057445526123,98.98989868164062,5953,0.5684769153594971,"1"
68,0.22918060421943665,0.9700000286102295,0.9900000095367432,0.800000011920929,0.9527279138565063,0.25099876523017883,0.10000000149011612,7.760000228881836,-12.168828964233398,99,6035,0.5810437202453613,"1"
69,0.22673732042312622,0.8899999856948853,0.9599999785423279,0.8100000023841858,0.8231373429298401,0.19190284609794617,0.09000000357627869,8.109999656677246,-8.800708770751953,96,6125,0.5647483468055725,"1"
70,0.22763492166996002,0.9399999976158142,0.9700000286102295,0.7799999713897705,0.8715687394142151,0.19295033812522888,0.15000000596046448,7.699999809265137,-10.537130355834961,97,6217,0.5824899077415466,"1"
