"step","Tanimoto_ROCS_sim","Custom_alerts","Linker_Num_Aromatic_Rings","Linker_Effective_Length","ADV","PostDock_Tanimoto_ROCS_sim","raw_Linker_Num_Aromatic_Rings","raw_Linker_Effective_Length","raw_ADV","Valid_SMILES","Number_of_SMILES_found","Average_score","docking_weight"
0,0.22526589035987854,0.6521739363670349,0.95652174949646,0.54347825050354,0.7168091535568237,0.28345468640327454,0.41304346919059753,12.67391300201416,-5.469663143157959,100,68,0.2696424424648285,"1"
1,0.24257493019104004,0.6631578803062439,0.9789473414421082,0.557894766330719,0.8729560375213623,0.24738803505897522,0.6947368383407593,9.294736862182617,-11.767704963684082,100,142,0.3180443048477173,"1"
2,0.22817564010620117,0.9494949579238892,0.9494949579238892,0.6969696879386902,0.7933962941169739,0.20182190835475922,0.49494948983192444,9.91919231414795,-9.098090171813965,100,221,0.5024739503860474,"1"
3,0.21924619376659393,0.8899999856948853,0.7799999713897705,0.5,0.6085076928138733,0.19753491878509521,1.0800000429153442,13.460000038146973,1.058500051498413,98,305,0.3825559914112091,"1"
4,0.2309790402650833,0.9399999976158142,0.8999999761581421,0.6600000262260437,0.689495861530304,0.2115914523601532,0.9100000262260437,12.4399995803833,-2.265550136566162,99,391,0.48656028509140015,"1"
5,0.222509503364563,0.9175257682800293,0.9484536051750183,0.6185566782951355,0.5962018966674805,0.22895105183124542,0.8041236996650696,12.670103073120117,-1.702463984489441,97.93814086914062,470,0.4500829875469208,"1"
6,0.21396474540233612,0.8888888955116272,0.8484848737716675,0.6666666865348816,0.6613295078277588,0.2044277936220169,0.9494949579238892,10.76767635345459,-4.806575775146484,97.97979736328125,546,0.3929877281188965,"1"
7,0.23023054003715515,0.918367326259613,0.9387755393981934,0.7755101919174194,0.7857837080955505,0.20770499110221863,0.8673469424247742,9.571428298950195,-7.978570461273193,97.95918273925781,611,0.39892321825027466,"1"
8,0.21908119320869446,0.9599999785423279,0.9900000095367432,0.6800000071525574,0.7569714188575745,0.16910262405872345,0.5299999713897705,10.199999809265137,-7.762310028076172,99,688,0.4765372574329376,"1"
9,0.22605642676353455,0.9200000166893005,0.9800000190734863,0.6600000262260437,0.7738465070724487,0.19420121610164642,0.6399999856948853,9.800000190734863,-7.948869705200195,99,761,0.430027037858963,"1"
10,0.22030770778656006,0.9700000286102295,0.949999988079071,0.800000011920929,0.7653435468673706,0.2033514827489853,0.4699999988079071,9.800000190734863,-8.014159202575684,99,846,0.5675479769706726,"1"
11,0.22855506837368011,0.949999988079071,0.9900000095367432,0.6499999761581421,0.6241481304168701,0.18020179867744446,0.5400000214576721,12.350000381469727,-2.7911200523376465,100,924,0.4405163526535034,"1"
12,0.21720443665981293,0.8999999761581421,0.9800000190734863,0.7200000286102295,0.6820104718208313,0.1981549859046936,0.23999999463558197,11.369999885559082,-5.510980129241943,98,1001,0.4413661062717438,"1"
13,0.21817748248577118,0.939393937587738,0.9595959782600403,0.7676767706871033,0.8446958661079407,0.21255770325660706,0.5757575631141663,8.909090995788574,-9.668000221252441,96.96969604492188,1070,0.4803425967693329,"1"
14,0.218855082988739,0.9200000166893005,1,0.8899999856948853,0.7773317694664001,0.2034262865781784,0.4399999976158142,10.930000305175781,-8.288119316101074,100,1150,0.5061292052268982,"1"
15,0.22464531660079956,0.9599999785423279,0.9900000095367432,0.8899999856948853,0.8094379305839539,0.17523294687271118,0.15000000596046448,10.0600004196167,-8.33948040008545,99,1221,0.48708832263946533,"1"
16,0.22725892066955566,0.9696969985961914,0.9898989796638489,0.8787878751754761,0.8867926001548767,0.16956669092178345,0.2929292917251587,8.929292678833008,-11.117929458618164,98.98989868164062,1296,0.5480266809463501,"1"
17,0.22726693749427795,0.9693877696990967,0.9897959232330322,0.8571428656578064,0.7695214152336121,0.2109321504831314,0.2142857164144516,10.091836929321289,-6.86163330078125,98.9795913696289,1371,0.5222873091697693,"1"
18,0.22384195029735565,0.9292929172515869,0.9898989796638489,0.8383838534355164,0.7890822291374207,0.16320884227752686,0.38383838534355164,9.909090995788574,-8.89484977722168,100,1461,0.5905503034591675,"1"
19,0.22121931612491608,0.9700000286102295,1,0.9399999976158142,0.7271723747253418,0.19004085659980774,0.28999999165534973,10.90999984741211,-6.539309501647949,100,1550,0.6056228876113892,"1"
20,0.22042497992515564,0.9599999785423279,0.9800000190734863,0.9200000166893005,0.8198055028915405,0.19727639853954315,0.3700000047683716,10.029999732971191,-8.475170135498047,99,1640,0.6162546873092651,"1"
21,0.22323253750801086,0.9399999976158142,0.9800000190734863,0.8899999856948853,0.7169369459152222,0.11667276173830032,0.41999998688697815,10.289999961853027,-6.951429843902588,98,1732,0.5699268579483032,"1"
22,0.22809165716171265,0.9800000190734863,0.9900000095367432,0.8899999856948853,0.6755221486091614,0.13770663738250732,0.49000000953674316,11.069999694824219,-4.127560138702393,99,1828,0.6282238364219666,"1"
23,0.24059438705444336,0.9900000095367432,0.9900000095367432,0.8899999856948853,0.7970526218414307,0.1440429538488388,0.5899999737739563,10.5,-8.483050346374512,100,1922,0.6589778065681458,"1"
24,0.2144373506307602,0.9300000071525574,0.949999988079071,0.8500000238418579,0.6221463084220886,0.08353988826274872,0.3100000023841858,11.039999961853027,-3.7761099338531494,95,2016,0.5994954109191895,"1"
25,0.2296825647354126,0.9700000286102295,0.9800000190734863,0.9100000262260437,0.7539702653884888,0.1543070375919342,0.2800000011920929,10.0600004196167,-6.906160354614258,99,2111,0.6543159484863281,"1"
26,0.21492677927017212,0.9300000071525574,0.949999988079071,0.8899999856948853,0.6900588870048523,0.0811644196510315,0.4399999976158142,10.369999885559082,-7.210400581359863,98,2205,0.5769193768501282,"1"
27,0.2144649475812912,0.9700000286102295,0.9800000190734863,0.9200000166893005,0.7984511852264404,0.1269592046737671,0.12999999523162842,10.239999771118164,-8.899429321289062,98,2297,0.6518521308898926,"1"
28,0.22043336927890778,0.9900000095367432,1,0.8999999761581421,0.6158458590507507,0.10521518439054489,0.15000000596046448,11.850000381469727,-4.3353705406188965,100,2392,0.6135745644569397,"1"
