"Column0","step","Tanimoto_ROCS_sim","Custom_alerts","Linker_Num_Aromatic_Rings","Linker_Effective_Length","ADV","PostDock_Tanimoto_ROCS_sim","raw_Linker_Num_Aromatic_Rings","raw_Linker_Effective_Length","raw_ADV","Valid_SMILES","Number_of_SMILES_found","Average_score","Link Length","low_upper"
0,0,0.2094525396823883,0.0357142873108387,0.9166666865348816,0.9166666865348816,0.4773501753807068,0.11343876272439957,0.3928571343421936,15.404762268066406,-0.24853597581386566,91.66666412353516,77,0.02135712280869484,"No constraint","No constraint"
1,1,0.18883053958415985,0.5316455960273743,0.9746835231781006,0.9873417615890503,0.240244060754776,0.05110938474535942,0.5443037748336792,21.126583099365234,9.151328086853027,98.73417663574219,155,0.2954149842262268,"No constraint","No constraint"
2,2,0.18093447387218475,0.9545454382896423,1,1,0.3172961175441742,0.10613686591386795,0,21.83333396911621,3.3993637561798096,100,219,0.5614585876464844,"No constraint","No constraint"
3,3,0.16003304719924927,0.7176470756530762,1,1,0.15591683983802795,0.030116695910692215,0.07058823853731155,27.811763763427734,9.926658630371094,100,303,0.3907882571220398,"No constraint","No constraint"
4,4,0.1775272637605667,0.9811320900917053,1,1,0.32329559326171875,0.01836283504962921,0.03773584961891174,19.60377311706543,3.734395980834961,100,354,0.5509099364280701,"No constraint","No constraint"
5,5,0.18273067474365234,0.957446813583374,1,1,0.11464259028434753,0,0.07446808367967606,27.276596069335938,18.328266143798828,100,447,0.5013604760169983,"No constraint","No constraint"
6,6,0.2320789098739624,1,1,1,0.36656448245048523,0.020895812660455704,0.1190476194024086,17.071428298950195,5.7007622718811035,100,484,0.5314222574234009,"No constraint","No constraint"
7,7,0.2050146460533142,1,1,1,0.46861979365348816,0.02759545110166073,0.4146341383457184,18.926828384399414,2.4305856227874756,100,525,0.6240538358688354,"No constraint","No constraint"
8,8,0.20828482508659363,0.9298245906829834,0.9824561476707458,1,0.41747286915779114,0.0016920615453273058,0.45614033937454224,18.59649085998535,4.954508304595947,100,571,0.4388715624809265,"No constraint","No constraint"
9,9,0.19828510284423828,1,1,1,0.253631591796875,0.12979958951473236,0.0714285746216774,17.785715103149414,5.6068572998046875,100,592,0.4494171142578125,"No constraint","No constraint"
10,10,0.21577677130699158,0.9491525292396545,0.47457626461982727,0.9661017060279846,0.3269381821155548,0,1.4576271772384644,16.11864471435547,13.04789924621582,96.61016845703125,648,0.42288070917129517,"No constraint","No constraint"
11,11,0.25472119450569153,0.9714285731315613,1,1,0.38683268427848816,0.029411854222416878,0.7714285850524902,17.08571434020996,4.812256813049316,100,679,0.5156009793281555,"No constraint","No constraint"
12,12,0.21182627975940704,0.90625,0.921875,0.9375,0.4631931185722351,0.12178454548120499,0.953125,16.703125,-0.27118754386901855,93.75,737,0.5698854923248291,"No constraint","No constraint"
13,13,0.22840914130210876,0.9090909361839294,0.8484848737716675,0.9545454382896423,0.376032292842865,0.11918037384748459,1.0606060028076172,18.454545974731445,5.493939399719238,95.45454406738281,790,0.44888046383857727,"No constraint","No constraint"
14,14,0.23053699731826782,1,0.7241379022598267,1,0.43000391125679016,0.2398064285516739,1.2413792610168457,19,6.185965061187744,100,847,0.5898663997650146,"No constraint","No constraint"
15,15,0.23487746715545654,1,0.8399999737739563,1,0.5009574890136719,0.24195390939712524,1.159999966621399,15.0600004196167,0.3650200664997101,100,895,0.625724732875824,"No constraint","No constraint"
16,16,0.19943441450595856,0.90625,0.78125,0.9375,0.5711988210678101,0.2808539867401123,1.09375,13.34375,-2.6565628051757812,93.75,915,0.3864533603191376,"No constraint","No constraint"
17,17,0.21321900188922882,0.9714285731315613,0.800000011920929,0.9714285731315613,0.42001527547836304,0.35384732484817505,1.1428571939468384,15.857142448425293,-0.20491422712802887,97.14286041259766,941,0.47062504291534424,"No constraint","No constraint"
18,18,0.22732006013393402,0.9230769276618958,0.4769230782985687,0.9538461565971375,0.42630964517593384,0.1301160603761673,1.4461538791656494,16.261537551879883,2.2332308292388916,95.38461303710938,993,0.37758520245552063,"No constraint","No constraint"
19,19,0.22094401717185974,0.9104477763175964,0.611940324306488,0.9701492786407471,0.4574298560619354,0.12044534832239151,1.3134328126907349,16.238805770874023,2.982179641723633,97.01492309570312,1046,0.41275346279144287,"No constraint","No constraint"
20,20,0.21057669818401337,0.9152542352676392,0.2881355881690979,0.9830508232116699,0.3627808094024658,0.050004053860902786,1.6779661178588867,16.72881317138672,3.0574238300323486,98.30508422851562,1100,0.3582460880279541,"No constraint","No constraint"
