"step","Tanimoto_ROCS_sim","Custom_alerts","Linker_Num_Aromatic_Rings","Linker_Effective_Length","ADV","PostDock_Tanimoto_ROCS_sim","raw_Linker_Num_Aromatic_Rings","raw_Linker_Effective_Length","raw_ADV","Valid_SMILES","Number_of_SMILES_found","Average_score","low_upper","Link Length"
0,0.14622335135936737,0.2666666805744171,0.6133333444595337,0.09333333373069763,0.45869502425193787,0.2878529727458954,0.3333333432674408,6.559999942779541,-4.107626438140869,61.33333206176758,46,0.02551380917429924,"7_8","7~8"
1,0.18507345020771027,0.699999988079071,0.800000011920929,0.10000000149011612,0.7020893096923828,0.48514169454574585,0,3.200000047683716,-10.575698852539062,80,49,0,"7_8","7~8"
2,0.16027763485908508,0.5714285969734192,0.7142857313156128,0,0.7117168307304382,0.4155058264732361,0,2.857142925262451,-10.995285034179688,71.42857360839844,50,0,"7_8","7~8"
3,0.20174217224121094,0.699999988079071,0.800000011920929,0.20000000298023224,0.7874239683151245,0.7819117307662964,0,6.5,-10.00890064239502,80,54,0,"7_8","7~8"
4,0.24272572994232178,1,1,0.2857142984867096,0.965455949306488,0.9761761426925659,0,9.571428298950195,-11.538285255432129,100,55,0,"7_8","7~8"
5,0.25505921244621277,1,1,0.3333333432674408,0.9866189956665039,0.9836124777793884,0,7.5,-12.83566665649414,100,55,0,"7_8","7~8"
6,0.22271832823753357,1,1,0.20000000298023224,0.9941791296005249,0.7799016237258911,0,5,-14.688400268554688,100,55,0,"7_8","7~8"
7,0.13919895887374878,0.625,0.625,0.125,0.6213619709014893,0.48743849992752075,0,3.125,-9.18025016784668,62.5,55,0,"7_8","7~8"
8,0.13419730961322784,0.6000000238418579,0.6000000238418579,0,0.5970999002456665,0.5817081332206726,0,3,-8.97960090637207,60,55,0,"7_8","7~8"
9,0.23328815400600433,1,1,0.3333333432674408,0.9913999438285828,0.9818140864372253,0,6,-13.727333068847656,100,55,0,"7_8","7~8"
10,0.22366218268871307,1,1,0,0.9951664805412292,0.9695135951042175,0,5,-14.9660005569458,100,55,0,"7_8","7~8"
11,0.22366218268871307,1,1,0,0.9951664805412292,0.9695135951042175,0,5,-14.965999603271484,100,55,0,"7_8","7~8"
12,0.2220177948474884,1,1,0,0.7464445233345032,0.727135181427002,0.25,7.75,-8.920000076293945,100,56,0,"7_8","7~8"
13,0.21692068874835968,1,1,0,0.9982435703277588,0.6422967314720154,0,4,-16.027666091918945,100,56,0,"7_8","7~8"
14,0.2051721215248108,1,1,0,0.9982534646987915,0.9634451270103455,0,4.5,-16.04199981689453,100,56,0,"7_8","7~8"
15,0.16156511008739471,0.3333333432674408,0.6666666865348816,0,0.6628924012184143,0.6512872576713562,0,3.6666667461395264,-9.640666961669922,66.66666412353516,57,0,"7_8","7~8"
16,0.1658923625946045,0.6666666865348816,0.6666666865348816,0,0.662342369556427,0.6514915823936462,0,3.6666667461395264,-9.545666694641113,66.66666412353516,57,0,"7_8","7~8"
17,0.23328815400600433,1,1,0.3333333432674408,0.9913999438285828,0.9818140864372253,0,6,-13.727333068847656,100,57,0,"7_8","7~8"
18,0.23328815400600433,1,1,0.3333333432674408,0.9913999438285828,0.9818140864372253,0,6,-13.727333068847656,100,57,0,"7_8","7~8"
19,0.23328815400600433,1,1,0.3333333432674408,0.9913999438285828,0.9818140864372253,0,6,-13.727333068847656,100,57,0,"7_8","7~8"
20,0.1992611438035965,0.800000011920929,0.800000011920929,0.4000000059604645,0.7917757034301758,0.7877627611160278,0,5.199999809265137,-10.68280029296875,80,57,0,"7_8","7~8"
21,0.23328815400600433,1,1,0.3333333432674408,0.9913999438285828,0.9818140864372253,0,6,-13.727333068847656,100,57,0,"7_8","7~8"
22,0.2051721215248108,1,1,0,0.9982534646987915,0.9634451270103455,0,4.5,-16.04199981689453,100,57,0,"7_8","7~8"
23,0.23328815400600433,1,1,0.3333333432674408,0.9913999438285828,0.9818140864372253,0,6,-13.727333068847656,100,57,0,"7_8","7~8"
24,0.24883854389190674,1,1,0,0.9935135841369629,0.9772374033927917,0,5.5,-14.318500518798828,100,57,0,"7_8","7~8"
25,0.24883854389190674,1,1,0,0.9935135841369629,0.9772374033927917,0,5.5,-14.318500518798828,100,57,0,"7_8","7~8"
26,0.24883854389190674,1,1,0,0.9935135841369629,0.9772374033927917,0,5.5,-14.318500518798828,100,57,0,"7_8","7~8"
27,0.23328815400600433,1,1,0.3333333432674408,0.9913999438285828,0.9818140864372253,0,6,-13.727333068847656,100,57,0,"7_8","7~8"
28,0.23703479766845703,1,1,0,0.9980348348617554,0.972824215888977,0,5,-15.822999954223633,100,57,0,"7_8","7~8"
29,0.23703479766845703,1,1,0,0.9980348348617554,0.972824215888977,0,5,-15.822999954223633,100,57,0,"7_8","7~8"
30,0.21692068874835968,1,1,0,0.9982436299324036,0.6422967314720154,0,4,-16.027666091918945,100,57,0,"7_8","7~8"
31,0.21692068874835968,1,1,0,0.9982435703277588,0.6422967314720154,0,4,-16.027666091918945,100,57,0,"7_8","7~8"
32,0.2068636417388916,1,1,0,0.9983479976654053,0.47703301906585693,0,3.5,-16.1299991607666,100,57,0,"7_8","7~8"
33,0.2068636417388916,1,1,0,0.9983479976654053,0.47703301906585693,0,3.5,-16.1299991607666,100,57,0,"7_8","7~8"
34,0.17330944538116455,1,1,0,0.9984721541404724,0.9540660381317139,0,4,-16.26099967956543,100,57,0,"7_8","7~8"
35,0.2068636417388916,1,1,0,0.9983479976654053,0.47703301906585693,0,3.5,-16.1299991607666,100,57,0,"7_8","7~8"
36,0.17330944538116455,1,1,0,0.9984721541404724,0.9540660381317139,0,4,-16.26099967956543,100,57,0,"7_8","7~8"
37,0.17330944538116455,1,1,0,0.9984721541404724,0.9540660381317139,0,4,-16.26099967956543,100,57,0,"7_8","7~8"
38,0.2068636417388916,1,1,0,0.9983479976654053,0.47703301906585693,0,3.5,-16.1299991607666,100,57,0,"7_8","7~8"
39,0.2051721215248108,1,1,0,0.9982534646987915,0.9634451270103455,0,4.5,-16.04199981689453,100,57,0,"7_8","7~8"
40,0.2051721215248108,1,1,0,0.9982534646987915,0.9634451270103455,0,4.5,-16.04199981689453,100,57,0,"7_8","7~8"
41,0.24883854389190674,1,1,0,0.9935135841369629,0.9772374033927917,0,5.5,-14.318500518798828,100,57,0,"7_8","7~8"
42,0.23703479766845703,1,1,0,0.9980348348617554,0.972824215888977,0,5,-15.822999954223633,100,57,0,"7_8","7~8"
43,0.2051721215248108,1,1,0,0.9982534646987915,0.9634451270103455,0,4.5,-16.04199981689453,100,57,0,"7_8","7~8"
44,0.23703479766845703,1,1,0,0.9980348348617554,0.972824215888977,0,5,-15.822999954223633,100,57,0,"7_8","7~8"
45,0.23703479766845703,1,1,0,0.9980348348617554,0.972824215888977,0,5,-15.822999954223633,100,57,0,"7_8","7~8"
46,0.24883854389190674,1,1,0,0.9935135841369629,0.9772374033927917,0,5.5,-14.318500518798828,100,57,0,"7_8","7~8"
47,0.25498682260513306,1,1,0.5,0.9928362965583801,0.9776674509048462,0,6.5,-14.216499328613281,100,58,0.49625369906425476,"7_8","7~8"
48,0.24513986706733704,0.800000011920929,1,0.20000000298023224,0.990511417388916,0.9794594049453735,0,6.800000190734863,-13.418200492858887,100,60,0,"7_8","7~8"
49,0.1529293954372406,0.46666666865348816,0.6666666865348816,0.2666666805744171,0.6623610258102417,0.648070752620697,0.20000000298023224,4.5333333015441895,-9.584399223327637,66.66666412353516,68,0.13251304626464844,"7_8","7~8"
50,0.1650533378124237,0.5185185074806213,0.6666666865348816,0.3333333432674408,0.6613044738769531,0.5711207985877991,0.3333333432674408,4.740740776062012,-9.10014820098877,66.66666412353516,82,0.1837742179632187,"7_8","7~8"
51,0.21167173981666565,0.6521739363670349,0.8695651888847351,0.43478259444236755,0.8679105639457703,0.859043538570404,0.95652174949646,6.91304349899292,-11.496955871582031,95.65217590332031,99,0.2153092920780182,"7_8","7~8"
52,0.22283469140529633,0.7868852615356445,0.6557376980781555,0.3442623019218445,0.8324797749519348,0.3688604235649109,1.1803278923034668,6.032786846160889,-10.986556053161621,91.80327606201172,147,0.06487980484962463,"7_8","7~8"
53,0.16574303805828094,0.6486486196517944,0.5270270109176636,0.36486485600471497,0.5962523221969604,0.32155564427375793,0.8783783912658691,5.8108110427856445,-7.399364471435547,70.27027130126953,193,0.13399915397167206,"7_8","7~8"
54,0.1749994307756424,0.6052631735801697,0.6052631735801697,0.28947368264198303,0.5645325779914856,0.5520628094673157,0.8684210777282715,5.947368621826172,-7.244025707244873,73.68421173095703,210,0.026065871119499207,"7_8","7~8"
55,0.1620796024799347,0.6333333253860474,0.6000000238418579,0.23333333432674408,0.5788778066635132,0.5570407509803772,0.800000011920929,6.066666603088379,-7.601033687591553,70,220,0.033001694828271866,"7_8","7~8"
56,0.10638400167226791,0.38596490025520325,0.19298245012760162,0.12280701845884323,0.30220577120780945,0.30931833386421204,0.7543859481811523,4.4210524559021,-1.983508825302124,43.859649658203125,239,0.05122968181967735,"7_8","7~8"
57,0.23865273594856262,0.8928571343421936,0.5714285969734192,0.5357142686843872,0.9425135254859924,0.7869179844856262,1.3571428060531616,6.3214287757873535,-13.207357406616211,96.42857360839844,260,0.0707688182592392,"7_8","7~8"
58,0.17413800954818726,0.6499999761581421,0.699999988079071,0.25,0.6969999670982361,0.5215451121330261,0.699999988079071,4.25,-10.492300033569336,70,265,0,"7_8","7~8"
59,0.22667497396469116,0.9230769276618958,0.9230769276618958,0.3076923191547394,0.9202074408531189,0.7354429960250854,0.9230769276618958,5.692307472229004,-13.949000358581543,92.30769348144531,269,0,"7_8","7~8"
60,0.24237176775932312,1,1,0.6000000238418579,0.9962236285209656,0.9636579751968384,1,6.599999904632568,-14.780299186706543,100,270,0,"7_8","7~8"
61,0.2387065440416336,1,1,0.375,0.9960697889328003,0.9653156399726868,0.875,6.375,-14.72599983215332,100,271,0,"7_8","7~8"
62,0.2590911090373993,1,1,0.125,0.9974589347839355,0.7204240560531616,1,5.75,-15.441374778747559,100,273,0,"7_8","7~8"
63,0.12553654611110687,0.5,0.5,0,0.4989340007305145,0.24115794897079468,0.5,2.6666667461395264,-7.86758279800415,50,275,0,"7_8","7~8"
64,0.07248932868242264,0.25,0.25,0,0.24945299327373505,0.24066995084285736,0.25,1.5,-3.9089999198913574,25,275,0,"7_8","7~8"
65,0.2566528618335724,1,1,0.3333333432674408,0.9969158172607422,0.9708496928215027,1,6.333333492279053,-15.102665901184082,100,275,0,"7_8","7~8"
66,0.2863194942474365,1,1,0,0.9974877834320068,0.9714353084564209,1,6,-15.40999984741211,100,275,0,"7_8","7~8"
67,0.28741440176963806,1,1,0,0.9975438117980957,0.9646825790405273,1,6,-15.445332527160645,100,275,0,"7_8","7~8"
68,0.3050864636898041,1,1,0.3333333432674408,0.9969035983085632,0.9738340973854065,1,6.333333492279053,-15.09766674041748,100,275,0,"7_8","7~8"
