"Column0","step","Tanimoto_ROCS_sim","Custom_alerts","Linker_Num_Aromatic_Rings","Linker_Effective_Length","ADV","PostDock_Tanimoto_ROCS_sim","raw_Linker_Num_Aromatic_Rings","raw_Linker_Effective_Length","raw_ADV","Valid_SMILES","Number_of_SMILES_found","Average_score","Link Length","low_upper"
0,0,0.08253765851259232,0.1318681389093399,0.37362638115882874,0.4065934121608734,0.20476888120174408,0.26699796319007874,0.2857142984867096,5.857142925262451,-0.11041759699583054,40.659339904785156,36,0.11189030855894089,"No constraint","No constraint"
1,1,0.18718303740024567,0.5,0.7857142686843872,0.7857142686843872,0.7124740481376648,0.6275418996810913,0,4,-10.035714149475098,78.57142639160156,43,0.33736175298690796,"No constraint","No constraint"
2,2,0.1875939667224884,0.75,0.75,0.75,0.5124582052230835,0,0,1.5,-8.036499977111816,75,44,0.18738898634910583,"No constraint","No constraint"
3,3,0.20065268874168396,0.8571428656578064,0.8571428656578064,0.8571428656578064,0.7206726670265198,0.2752700448036194,0,2.4285714626312256,-11.482428550720215,85.71428680419922,44,0,"No constraint","No constraint"
4,4,0.1934533566236496,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.6743900179862976,0.3211483657360077,0,2.5,-10.705000877380371,83.33333587646484,44,0,"No constraint","No constraint"
5,5,0.1523621380329132,0.5555555820465088,0.6666666865348816,0.6666666865348816,0.5605149865150452,0.21409891545772552,0,1.8888888359069824,-8.922222137451172,66.66666412353516,45,0,"No constraint","No constraint"
6,6,0.1934533566236496,0.8333333134651184,0.8333333134651184,0.8333333134651184,0.6743900179862976,0.3211483657360077,0,2.5,-10.704998970031738,83.33333587646484,45,0,"No constraint","No constraint"
7,7,0.16581715643405914,0.7142857313156128,0.7142857313156128,0.7142857313156128,0.578048586845398,0.2752700448036194,0,2.142857074737549,-9.175714492797852,71.42857360839844,45,0,"No constraint","No constraint"
8,8,0.25012528896331787,1,1,1,0.6832776069641113,0,0,2,-10.715332984924316,100,45,0,"No constraint","No constraint"
9,9,0.18473705649375916,0.800000011920929,0.800000011920929,0.800000011920929,0.6096609830856323,0.19081321358680725,0,2,-9.68139934539795,80,45,0,"No constraint","No constraint"
10,10,0.16439400613307953,0.75,0.75,0.75,0.7487661838531494,0.23851650953292847,0,2.25,-12.101749420166016,75,45,0,"No constraint","No constraint"
11,11,0.1875939667224884,0.75,0.75,0.75,0.5124582052230835,0,0,1.5,-8.036499977111816,75,45,0,"No constraint","No constraint"
12,12,0.23888665437698364,1,1,1,0.7621027231216431,0.2354777753353119,0,2.5,-12.132999420166016,100,45,0,"No constraint","No constraint"
13,13,0.23837630450725555,1,1,1,0.6833956837654114,0.3139703571796417,0,2.3333332538604736,-10.844332695007324,100,45,0,"No constraint","No constraint"
14,14,0.24213328957557678,1,1,1,0.9982962608337402,0,0,2.5,-16.072999954223633,100,45,0,"No constraint","No constraint"
15,15,0.24213328957557678,1,1,1,0.9982962608337402,0,0,2.5,-16.072999954223633,100,45,0,"No constraint","No constraint"
16,16,0.2586890757083893,1,1,1,0.3682830333709717,0,0,1.3333333730697632,-5.382333278656006,100,45,0,"No constraint","No constraint"
17,17,0.2438487559556961,1,1,1,0.9983686804771423,0,0,2,-16.14699935913086,100,45,0,"No constraint","No constraint"
18,18,0.24213328957557678,1,1,1,0.9982962608337402,0,0,2.5,-16.072999954223633,100,45,0,"No constraint","No constraint"
19,19,0.2438487559556961,1,1,1,0.9983686804771423,0,0,2,-16.14699935913086,100,45,0,"No constraint","No constraint"
20,20,0.2438487559556961,1,1,1,0.9983686804771423,0,0,2,-16.14699935913086,100,45,0,"No constraint","No constraint"
21,21,0.2438487559556961,1,1,1,0.9983686804771423,0,0,2,-16.14699935913086,100,45,0,"No constraint","No constraint"
22,22,0.24213328957557678,1,1,1,0.9982962608337402,0,0,2.5,-16.072999954223633,100,45,0,"No constraint","No constraint"
23,23,0.2549790143966675,1,1,1,0.5258044600486755,0,0,1.5,-8.07349967956543,100,45,0,"No constraint","No constraint"
24,24,0.24213328957557678,1,1,1,0.9982962608337402,0,0,2.5,-16.072999954223633,100,45,0,"No constraint","No constraint"
25,25,0.16998600959777832,0.6666666865348816,0.6666666865348816,0.6666666865348816,0.3505363166332245,0,0,1,-5.382333278656006,66.66666412353516,45,0,"No constraint","No constraint"
26,26,0.25012528896331787,1,1,1,0.6832776069641113,0,0,2,-10.715332984924316,100,45,0,"No constraint","No constraint"
27,27,0.24213328957557678,1,1,1,0.9982962608337402,0,0,2.5,-16.072999954223633,100,45,0,"No constraint","No constraint"
28,28,0.2438487559556961,1,1,1,0.9983686804771423,0,0,2,-16.14699935913086,100,45,0,"No constraint","No constraint"
29,29,0.2549790143966675,1,1,1,0.5258044600486755,0,0,1.5,-8.07349967956543,100,45,0,"No constraint","No constraint"
30,30,0.2438487559556961,1,1,1,0.9983686804771423,0,0,2,-16.14699935913086,100,45,0,"No constraint","No constraint"
31,31,0.2549790143966675,1,1,1,0.5258044600486755,0,0,1.5,-8.07349967956543,100,45,0,"No constraint","No constraint"
32,32,0.2549790143966675,1,1,1,0.5258044600486755,0,0,1.5,-8.07349967956543,100,45,0,"No constraint","No constraint"
33,33,0.2438487559556961,1,1,1,0.9983686804771423,0,0,2,-16.14699935913086,100,45,0,"No constraint","No constraint"
34,34,0.12192437797784805,0.5,0.5,0.5,0.49918434023857117,0,0,1,-8.07349967956543,50,45,0,"No constraint","No constraint"
35,35,0.2438487559556961,1,1,1,0.9983686804771423,0,0,2,-16.14699935913086,100,45,0,"No constraint","No constraint"
36,36,0.2438487559556961,1,1,1,0.9983686804771423,0,0,2,-16.14699935913086,100,45,0,"No constraint","No constraint"
37,37,0.2438487559556961,1,1,1,0.9983686804771423,0,0,2,-16.14699935913086,100,45,0,"No constraint","No constraint"
38,38,0.2549790143966675,1,1,1,0.5258044600486755,0,0,1.5,-8.07349967956543,100,45,0,"No constraint","No constraint"
39,39,0.2549790143966675,1,1,1,0.5258044600486755,0,0,1.5,-8.07349967956543,100,45,0,"No constraint","No constraint"
40,40,0.2549790143966675,1,1,1,0.5258044600486755,0,0,1.5,-8.07349967956543,100,45,0,"No constraint","No constraint"
41,41,0.2438487559556961,1,1,1,0.9983686804771423,0,0,2,-16.14699935913086,100,45,0,"No constraint","No constraint"
42,42,0.2438487559556961,1,1,1,0.9983686804771423,0,0,2,-16.14699935913086,100,45,0,"No constraint","No constraint"
43,43,0.2549790143966675,1,1,1,0.5258044600486755,0,0,1.5,-8.07349967956543,100,45,0,"No constraint","No constraint"
44,44,0.2438487559556961,1,1,1,0.9983686804771423,0,0,2,-16.14699935913086,100,45,0,"No constraint","No constraint"
45,45,0.2549790143966675,1,1,1,0.5258044600486755,0,0,1.5,-8.07349967956543,100,45,0,"No constraint","No constraint"
46,46,0.2438487559556961,1,1,1,0.9983686804771423,0,0,2,-16.14699935913086,100,45,0,"No constraint","No constraint"
47,47,0.2438487559556961,1,1,1,0.9983686804771423,0,0,2,-16.14699935913086,100,45,0,"No constraint","No constraint"
48,48,0.2549790143966675,1,1,1,0.5258044600486755,0,0,1.5,-8.07349967956543,100,45,0,"No constraint","No constraint"
49,49,0.2438487559556961,1,1,1,0.9983686804771423,0,0,2,-16.14699935913086,100,45,0,"No constraint","No constraint"
50,50,0.2438487559556961,1,1,1,0.9983686804771423,0,0,2,-16.14699935913086,100,45,0,"No constraint","No constraint"
51,51,0.2438487559556961,1,1,1,0.9983686804771423,0,0,2,-16.14699935913086,100,45,0,"No constraint","No constraint"
52,52,0.2438487559556961,1,1,1,0.9983686804771423,0,0,2,-16.14699935913086,100,45,0,"No constraint","No constraint"
53,53,0.2438487559556961,1,1,1,0.9983686804771423,0,0,2,-16.14699935913086,100,45,0,"No constraint","No constraint"
54,54,0.2549790143966675,1,1,1,0.5258044600486755,0,0,1.5,-8.07349967956543,100,45,0,"No constraint","No constraint"
55,55,0.2438487559556961,1,1,1,0.9983686804771423,0,0,2,-16.14699935913086,100,45,0,"No constraint","No constraint"
56,56,0.2438487559556961,1,1,1,0.9983686804771423,0,0,2,-16.14699935913086,100,45,0,"No constraint","No constraint"
57,57,0.2438487559556961,1,1,1,0.9983686804771423,0,0,2,-16.14699935913086,100,45,0,"No constraint","No constraint"
58,58,0.2438487559556961,1,1,1,0.9983686804771423,0,0,2,-16.14699935913086,100,45,0,"No constraint","No constraint"
