"step","Tanimoto_ROCS_sim","Custom_alerts","Linker_Num_Aromatic_Rings","Linker_Effective_Length","ADV","PostDock_Tanimoto_ROCS_sim","raw_Linker_Num_Aromatic_Rings","raw_Linker_Effective_Length","raw_ADV","Valid_SMILES","Number_of_SMILES_found","Average_score","low_upper","Link Length"
0,0.24180637300014496,0.3611111044883728,0.9166666865348816,0.3333333432674408,0.823952317237854,0.443746417760849,0.1666666716337204,8.80555534362793,-10.836305618286133,94.44444274902344,34,0.05526299774646759,"7_8","7~8"
1,0.09261086583137512,0.014084506779909134,0.4084506928920746,0.0845070406794548,0.3207286596298218,0.07938778400421143,0.09859155118465424,5.056337833404541,-3.8924646377563477,45.0704231262207,66,0,"7_8","7~8"
2,0.12415631860494614,0.03896103799343109,0.48051947355270386,0.09090909361839294,0.3864576518535614,0.204262837767601,0.03896103799343109,4.298701286315918,-4.9311299324035645,48.05194854736328,102,0,"7_8","7~8"
3,0.07998525351285934,0,0.3333333432674408,0.013888888992369175,0.2718130648136139,0.013187428936362267,0,3.7361111640930176,-3.1563334465026855,33.33333206176758,125,0,"7_8","7~8"
4,0.08938521146774292,0,0.3877550959587097,0.020408162847161293,0.3519856929779053,0.019963333383202553,0,3.6122448444366455,-4.475836753845215,38.775508880615234,144,0,"7_8","7~8"
5,0.09618186950683594,0.1785714328289032,0.3928571343421936,0.2857142984867096,0.3906964957714081,0.07025215774774551,0,2.892857074737549,-5.57042932510376,39.28571319580078,155,0.03549577295780182,"7_8","7~8"
6,0.08716969192028046,0.05714285746216774,0.3142857253551483,0.2571428716182709,0.3109149932861328,0,0,2.4000000953674316,-4.145857334136963,31.428571701049805,166,0,"7_8","7~8"
7,0,0,0,0,0,0,0,0,0,0,166,0,"7_8","7~8"
8,0.021469714120030403,0.03846153989434242,0.07692307978868484,0.03846153989434242,0.07645086944103241,0,0,0.5384615659713745,-1.069000005722046,7.692307472229004,168,0,"7_8","7~8"
9,0.006648327223956585,0,0.054054055362939835,0,0.028418606147170067,0,0,0.2432432472705841,-0.4330540597438812,5.405405521392822,170,0,"7_8","7~8"
10,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
11,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
12,0,0,0,0,0,0,0,0,0,0,170,0,"7_8","7~8"
