"step","Tanimoto_ROCS_sim","Custom_alerts","Linker_Num_Aromatic_Rings","Linker_Effective_Length","ADV","PostDock_Tanimoto_ROCS_sim","raw_Linker_Num_Aromatic_Rings","raw_Linker_Effective_Length","raw_ADV","Valid_SMILES","Number_of_SMILES_found","Average_score","docking_weight"
0,0.21859361231327057,0.47826087474823,0.8260869383811951,0.739130437374115,0.7000433206558228,0.23302426934242249,0.21739129722118378,7.884057998657227,-6.957276344299316,82.60869598388672,57,0.36369457840919495,"1"
1,0.06642960757017136,0.10112359374761581,0.2808988690376282,0.11235955357551575,0.27358850836753845,0.24948257207870483,0,1.7752809524536133,-3.904820203781128,28.089887619018555,82,0.08603961020708084,"1"
2,0.008352065458893776,0,0.03999999910593033,0.013333333656191826,0.027072204276919365,0.012810776941478252,0,0.18666666746139526,-0.34488001465797424,4,85,0,"1"
3,0.004548102617263794,0,0.021739130839705467,0,0.021707933396100998,0,0,0.043478261679410934,-0.3558695912361145,2.17391300201416,86,0,"1"
4,0.00355163705535233,0.013698630034923553,0.013698630034923553,0,0.013639263808727264,0.01275912206619978,0,0.054794520139694214,-0.1978767067193985,1.3698630332946777,87,0.010024253278970718,"1"
5,0.040668733417987823,0.12195122241973877,0.17073170840740204,0.0731707289814949,0.16944000124931335,0.024059033021330833,0,0.8536585569381714,-2.488731861114502,17.073171615600586,94,0.08498011529445648,"1"
6,0,0,0,0,0,0,0,0,0,0,94,0,"1"
7,0.09158408641815186,0.3636363744735718,0.3636363744735718,0.27272728085517883,0.3589250445365906,0.2675454318523407,0,3.090909004211426,-4.9195451736450195,36.3636360168457,98,0.3157085180282593,"1"
8,0.061028800904750824,0.20000000298023224,0.25,0.20000000298023224,0.17243008315563202,0.023994211107492447,0,3.3499999046325684,-1.3967000246047974,25,108,0.1306639015674591,"1"
9,0,0,0,0,0,0,0,0,0,0,108,0,"1"
10,0.09713151305913925,0.2571428716182709,0.37142857909202576,0.2857142984867096,0.2472175657749176,0,0,3.2571427822113037,-3.2056570053100586,37.14285659790039,121,0.15893875062465668,"1"
11,0.08504745364189148,0.18867924809455872,0.35849055647850037,0.24528302252292633,0.22369341552257538,0,0,4.641509532928467,-1.2604528665542603,35.849056243896484,140,0.08984100818634033,"1"
12,0,0,0,0,0,0,0,0,0,0,140,0,"1"
13,0,0,0,0,0,0,0,0,0,0,140,0,"1"
14,0,0,0,0,0,0,0,0,0,0,140,0,"1"
15,0,0,0,0,0,0,0,0,0,0,140,0,"1"
16,0,0,0,0,0,0,0,0,0,0,140,0,"1"
17,0,0,0,0,0,0,0,0,0,0,140,0,"1"
18,0,0,0,0,0,0,0,0,0,0,140,0,"1"
19,0,0,0,0,0,0,0,0,0,0,140,0,"1"
20,0,0,0,0,0,0,0,0,0,0,140,0,"1"
21,0,0,0,0,0,0,0,0,0,0,140,0,"1"
22,0,0,0,0,0,0,0,0,0,0,140,0,"1"
23,0,0,0,0,0,0,0,0,0,0,140,0,"1"
24,0,0,0,0,0,0,0,0,0,0,140,0,"1"
25,0,0,0,0,0,0,0,0,0,0,140,0,"1"
26,0,0,0,0,0,0,0,0,0,0,140,0,"1"
27,0,0,0,0,0,0,0,0,0,0,140,0,"1"
28,0,0,0,0,0,0,0,0,0,0,140,0,"1"
29,0,0,0,0,0,0,0,0,0,0,140,0,"1"
30,0,0,0,0,0,0,0,0,0,0,140,0,"1"
31,0,0,0,0,0,0,0,0,0,0,140,0,"1"
32,0,0,0,0,0,0,0,0,0,0,140,0,"1"
33,0,0,0,0,0,0,0,0,0,0,140,0,"1"
34,0,0,0,0,0,0,0,0,0,0,140,0,"1"
35,0,0,0,0,0,0,0,0,0,0,140,0,"1"
36,0,0,0,0,0,0,0,0,0,0,140,0,"1"
37,0,0,0,0,0,0,0,0,0,0,140,0,"1"
38,0,0,0,0,0,0,0,0,0,0,140,0,"1"
39,0,0,0,0,0,0,0,0,0,0,140,0,"1"
40,0,0,0,0,0,0,0,0,0,0,140,0,"1"
41,0,0,0,0,0,0,0,0,0,0,140,0,"1"
42,0,0,0,0,0,0,0,0,0,0,140,0,"1"
43,0,0,0,0,0,0,0,0,0,0,140,0,"1"
44,0,0,0,0,0,0,0,0,0,0,140,0,"1"
45,0,0,0,0,0,0,0,0,0,0,140,0,"1"
46,0,0,0,0,0,0,0,0,0,0,140,0,"1"
47,0,0,0,0,0,0,0,0,0,0,140,0,"1"
48,0,0,0,0,0,0,0,0,0,0,140,0,"1"
49,0,0,0,0,0,0,0,0,0,0,140,0,"1"
50,0,0,0,0,0,0,0,0,0,0,140,0,"1"
51,0,0,0,0,0,0,0,0,0,0,140,0,"1"
52,0,0,0,0,0,0,0,0,0,0,140,0,"1"
53,0,0,0,0,0,0,0,0,0,0,140,0,"1"
54,0,0,0,0,0,0,0,0,0,0,140,0,"1"
55,0,0,0,0,0,0,0,0,0,0,140,0,"1"
56,0,0,0,0,0,0,0,0,0,0,140,0,"1"
57,0,0,0,0,0,0,0,0,0,0,140,0,"1"
58,0,0,0,0,0,0,0,0,0,0,140,0,"1"
59,0,0,0,0,0,0,0,0,0,0,140,0,"1"
60,0,0,0,0,0,0,0,0,0,0,140,0,"1"
61,0,0,0,0,0,0,0,0,0,0,140,0,"1"
62,0,0,0,0,0,0,0,0,0,0,140,0,"1"
63,0,0,0,0,0,0,0,0,0,0,140,0,"1"
64,0,0,0,0,0,0,0,0,0,0,140,0,"1"
65,0,0,0,0,0,0,0,0,0,0,140,0,"1"
66,0,0,0,0,0,0,0,0,0,0,140,0,"1"
67,0,0,0,0,0,0,0,0,0,0,140,0,"1"
68,0,0,0,0,0,0,0,0,0,0,140,0,"1"
69,0,0,0,0,0,0,0,0,0,0,140,0,"1"
70,0,0,0,0,0,0,0,0,0,0,140,0,"1"
71,0,0,0,0,0,0,0,0,0,0,140,0,"1"
72,0,0,0,0,0,0,0,0,0,0,140,0,"1"
73,0,0,0,0,0,0,0,0,0,0,140,0,"1"
74,0,0,0,0,0,0,0,0,0,0,140,0,"1"
75,0,0,0,0,0,0,0,0,0,0,140,0,"1"
76,0,0,0,0,0,0,0,0,0,0,140,0,"1"
77,0,0,0,0,0,0,0,0,0,0,140,0,"1"
78,0,0,0,0,0,0,0,0,0,0,140,0,"1"
79,0,0,0,0,0,0,0,0,0,0,140,0,"1"
80,0,0,0,0,0,0,0,0,0,0,140,0,"1"
81,0,0,0,0,0,0,0,0,0,0,140,0,"1"
82,0,0,0,0,0,0,0,0,0,0,140,0,"1"
83,0,0,0,0,0,0,0,0,0,0,140,0,"1"
84,0,0,0,0,0,0,0,0,0,0,140,0,"1"
85,0,0,0,0,0,0,0,0,0,0,140,0,"1"
86,0,0,0,0,0,0,0,0,0,0,140,0,"1"
87,0,0,0,0,0,0,0,0,0,0,140,0,"1"
88,0,0,0,0,0,0,0,0,0,0,140,0,"1"
89,0,0,0,0,0,0,0,0,0,0,140,0,"1"
90,0,0,0,0,0,0,0,0,0,0,140,0,"1"
91,0,0,0,0,0,0,0,0,0,0,140,0,"1"
