smiles,total_score,Tanimoto ROCS sim,ADV,PostDock Tanimoto ROCS sim,raw_ADV,valid
C#CCCOC(COC[101CH2][101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2)COc1ccc([100NH][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)cc1,0.8699795,0.21953359,0.8994302,0.84052885,-8.806,1
C=C(Nc1cccc([100NH][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)c1)[101C](=O)[101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2,0.9803401,0.22696714,0.9969857,0.9636946,-15.078,1
C=CCOc1cc(C(=O)NC[101CH2][101O]c2ccc3c(c2)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC2CCCc4ccccc42)C3)ccc1[100NH][100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1,0.9686024,0.21624573,0.9698724,0.96733236,-11.031,1
CCC(C)C(C(=O)NCCOCCOCCOCCC[100O][100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1)C(=O)NCCOCCOC[101CH2][101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2,0.042837407,0.2740687,0.08567437,4.466484e-07,-0.887,1
CCC(C)C(NC(=O)CNC(=O)CN(C)CC[101CH2][101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2)C(=O)NCCOCCOCC[100NH][100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1,0.415344,0.2597818,0.83068794,3.8327652e-08,-7.763,1
CCC(C)C(N[101C](=O)[101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2)C(COCC(=O)NCC[100O][100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1)OC,0.9321792,0.201185,0.9501089,0.91424954,-10.119,1
CCC(C)C(NC(=O)c1cccc([101C](=O)[101O]c2ccc3c(c2)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC2CCCc4ccccc42)C3)n1)C(=O)NCCOCC[100O][100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1,0.92715764,0.27213407,0.88570225,0.96861297,-8.557,1
CCCC(=O)OCc1cc(COCC[100NH][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)ccc1[101CH2][101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2,0.9812007,0.22760436,0.9846178,0.9777835,-12.225,1
CCCCN(CCCC[100NH][100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1)C(=O)COC[101C](=O)[101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2,0.5365963,0.20637718,0.6907445,0.38244814,-6.396,1
CCCCNC(=O)C(COCCOCCOCCCNC(=O)COC[101CH2][101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2)[100NH][100C](=O)N1CCCC(n2nc(-c3ccc(Oc4ccc(F)cc4F)cc3)c(C(N)=O)c2N)C1,0.026620107,0.0,0.053240214,0.0,0.0,1
CCCCNC(=O)c1cc(C[100NH][100C](=O)N2CCCC(n3nc(-c4ccc(Oc5ccc(F)cc5F)cc4)c(C(N)=O)c3N)C2)ccc1CN[101C](=O)[101O]c1ccc2c(c1)CN(C(=O)C(NC(=O)C(C)NC)C(C)(C)C)C(C(=O)NC1CCCc3ccccc31)C2,0.4008915,0.24343975,0.2729414,0.5288416,-3.298,1
